,City,Operation,Time block,Delay
1405,Paris,Arrival,19,1.0
1406,Nice,Arrival,19,-1.0
1407,Stuttgart,Arrival,19,7.0
1408,Vienna,Arrival,19,-7.0
1409,Stockholm,Arrival,19,16.0
1410,La Coruna,Arrival,19,19.0
1411,Geneva,Arrival,20,37.0
1412,Copenhagen,Arrival,20,-8.0
1413,Las Palmas,Arrival,20,-2.0
1414,Sevilla,Arrival,20,0.0
1415,Paris,Arrival,20,58.0
1416,Santiago De Compostela,Arrival,20,-15.0
1417,Granada,Arrival,20,6.0
1418,Palma Mallorca,Arrival,20,-7.0
1419,Madrid,Arrival,20,-11.0
1420,Sevilla,Arrival,20,-7.0
1421,Malaga,Arrival,21,6.0
1422,Bilbao,Arrival,21,-22.0
1423,Alicante,Arrival,21,14.0
1424,Asturias,Arrival,21,10.0
1425,Amsterdam,Arrival,21,-18.0
1426,Paris,Arrival,21,-20.0
1427,Florence,Arrival,21,-7.0
1428,Palma Mallorca,Arrival,22,-14.0
1429,Menorca,Arrival,22,-18.0
1430,Zurich,Arrival,22,-8.0
1431,London,Arrival,22,-34.0
1432,Munich,Arrival,22,-7.0
1433,Palma Mallorca,Arrival,22,-18.0
1434,Bilbao,Arrival,22,5.0
1435,Rome,Arrival,22,-2.0
1436,Milan,Arrival,22,-15.0
1437,Manchester,Arrival,22,47.0
1438,Bordeaux,Arrival,23,-6.0
1439,Ibiza,Arrival,23,-5.0
1440,Paris,Arrival,23,5.0
1441,Vigo,Arrival,23,43.0
1442,Malaga,Arrival,23,-2.0
1443,Marseille,Arrival,23,16.0
1444,Paris,Arrival,23,-7.0
1445,Brussels,Arrival,23,30.0
1446,Venice,Arrival,23,-10.0
1447,Palma Mallorca,Arrival,23,12.0
1448,Lisbon,Arrival,23,-6.0
1449,Prague,Arrival,23,17.0
1450,Amsterdam,Arrival,23,-13.0
1451,La Coruna,Arrival,23,-7.0
1452,London,Arrival,23,25.0
1453,Naples,Arrival,23,-2.0
1454,Rennes,Arrival,23,-6.0
1455,Marrakech,Departure,6,-3.0
1456,Florence,Departure,6,-10.0
1457,Porto,Departure,6,-3.0
1458,Tangier,Departure,6,14.0
1459,San Sebastian,Departure,6,-1.0
1460,Las Palmas,Departure,6,0.0
1461,Alicante,Departure,6,-3.0
1462,Brussels,Departure,6,0.0
1463,Asturias,Departure,6,-1.0
1464,Sevilla,Departure,6,-4.0
1465,Malaga,Departure,7,-6.0
1466,Bilbao,Departure,7,-3.0
1467,Madrid,Departure,7,2.0
1468,Munich,Departure,7,0.0
1469,Paris,Departure,7,14.0
1470,Palma Mallorca,Departure,7,33.0
1471,Amsterdam,Departure,7,35.0
1472,Ibiza,Departure,7,-1.0
1473,Lisbon,Departure,7,-1.0
1474,Athens,Departure,7,-1.0
1475,Rome,Departure,7,-1.0
1476,London,Departure,7,-1.0
1477,Menorca,Departure,7,-9.0
1478,Geneva,Departure,7,-1.0
1479,Nice,Departure,7,-3.0
1480,Granada,Departure,7,0.0
1481,London,Departure,7,22.0
1482,Milan,Departure,7,4.0
1483,Prague,Departure,7,1.0
1484,Vienna,Departure,7,0.0
1485,Paris,Departure,7,-2.0
1486,Madrid,Departure,8,93.0
1487,Palma Mallorca,Departure,8,-4.0
1488,Alicante,Departure,8,-11.0
1489,Menorca,Departure,9,-10.0
1490,Ibiza,Departure,9,-9.0
1491,Santiago De Compostela,Departure,9,36.0
1492,La Coruna,Departure,9,0.0
1493,Rome,Departure,9,7.0
1494,Tenerife,Departure,9,2.0
1495,Bilbao,Departure,9,-4.0
1496,Moscow,Departure,9,6.0
1497,Amsterdam,Departure,10,37.0
1498,Lanzarote,Departure,10,14.0
1499,Hanover,Departure,10,-9.0
1500,Granada,Departure,10,-2.0
1501,Olbia,Departure,10,-2.0
1502,Florence,Departure,11,-11.0
1503,Sevilla,Departure,11,6.0
1504,Birmingham,Departure,11,0.0
1505,Berlin,Departure,11,1.0
1506,Rome,Departure,11,32.0
1507,Palma Mallorca,Departure,11,6.0
1508,Malaga,Departure,12,-8.0
1509,Tenerife,Departure,12,0.0
1510,Las Palmas,Departure,12,3.0
1511,Milan,Departure,12,-3.0
1512,Lisbon,Departure,12,70.0
1513,Asturias,Departure,12,14.0
1514,Brussels,Departure,12,36.0
1515,Dusseldorf,Departure,12,19.0
1516,Ibiza,Departure,12,8.0
1517,Madrid,Departure,14,31.0
1518,Venice,Departure,14,9.0
1519,Paris,Departure,14,5.0
1520,Palma Mallorca,Departure,14,-1.0
1521,La Coruna,Departure,14,-7.0
1522,Bologna,Departure,14,-8.0
1523,Nantes,Departure,14,1.0
1524,Stuttgart,Departure,15,-3.0
1525,Rome,Departure,15,-2.0
1526,Malaga,Departure,15,-6.0
1527,Lisbon,Departure,15,-10.0
1528,London,Departure,15,1.0
1529,Amsterdam,Departure,15,-4.0
1530,Bilbao,Departure,15,7.0
1531,Marseille,Departure,15,-2.0
1532,Vienna,Departure,15,-3.0
1533,Paris,Departure,16,-5.0
1534,Palma Mallorca,Departure,16,-7.0
1535,Dakar,Departure,16,22.0
1536,Banjul,Departure,16,-2.0
1537,Santiago De Compostela,Departure,16,10.0
1538,Sevilla,Departure,16,-4.0
1539,Ibiza,Departure,16,-4.0
1540,Menorca,Departure,17,-8.0
1541,Madrid,Departure,17,5.0
1542,London,Departure,17,-5.0
1543,Manchester,Departure,17,-7.0
1544,Paris,Departure,17,2.0
1545,Bilbao,Departure,17,0.0
1546,Alicante,Departure,18,-4.0
1547,Palma Mallorca,Departure,18,-2.0
1548,Beirut,Departure,18,12.0
1549,Madrid,Departure,19,22.0
1550,Lisbon,Departure,19,-2.0
1551,Malaga,Departure,19,11.0
1552,London,Departure,19,-14.0
1553,Palma Mallorca,Departure,20,-6.0
1554,Algiers,Departure,21,-9.0
